ITER	CANDIDATE	VOTES
19	COFFEY 'Ana	9785.725438047
19	VERRALL Ayesha	9603.910471792
19	BLAKELEY Roger	8484.18920283
19	BROWN Eileen	6966.21870573
19	SIMPSON Vanessa	6712.398244452
19	HUGHES Glenda	6520.563963971
19	APANOWICZ John	0
19	CLARK Marion	0
19	CLARK Nathan	0
19	FISO John	0
19	GRICE Stephen	0
19	HOLBOROW Janet	0
19	ISA Letitia	0
19	MARSH Simon (Swampy)	0
19	MITIKULENA Alvin	0
19	NG Shan	0
19	O'DWYER Letitia	0
19	PETERS John	0
19	SHAND David	0
19	TURNER Susan	0
20	COFFEY 'Ana	9731.51866379
20	KEDGLEY Sue	9725.435622632
20	ADAMS Kathryn	9724.201639439
20	KALDERIMIS Chris	9721.713882078
20	VERRALL Ayesha	9659.669750523
20	BLAKELEY Roger	8552.488163346
20	BROWN Eileen	7025.733137976
20	SIMPSON Vanessa	6764.171347309
20	HUGHES Glenda	6562.943082527
20	APANOWICZ John	0
20	CLARK Marion	0
20	CLARK Nathan	0
20	FISO John	0
20	GRICE Stephen	0
20	HOLBOROW Janet	0
20	ISA Letitia	0
20	MARSH Simon (Swampy)	0
20	MITIKULENA Alvin	0
20	NG Shan	0
20	O'DWYER Letitia	0
20	PETERS John	0
20	SHAND David	0
20	TURNER Susan	0
21	KALDERIMIS Chris	10873.670590336
21	KEDGLEY Sue	10316.130492683
21	COFFEY 'Ana	10295.286828437
21	ADAMS Kathryn	10279.758295953
21	VERRALL Ayesha	10020.297562158
21	BLAKELEY Roger	9385.236408581
21	SIMPSON Vanessa	7614.14177799
21	BROWN Eileen	7333.148443355
21	APANOWICZ John	0
21	CLARK Marion	0
21	CLARK Nathan	0
21	FISO John	0
21	GRICE Stephen	0
21	HOLBOROW Janet	0
21	HUGHES Glenda	0
21	ISA Letitia	0
21	MARSH Simon (Swampy)	0
21	MITIKULENA Alvin	0
21	NG Shan	0
21	O'DWYER Letitia	0
21	PETERS John	0
21	SHAND David	0
21	TURNER Susan	0
22	BLAKELEY Roger	9953.657961727
22	VERRALL Ayesha	9946.846880531
22	COFFEY 'Ana	9857.608379314
22	KEDGLEY Sue	9854.354082102
22	ADAMS Kathryn	9842.153710821
22	KALDERIMIS Chris	9741.443705382
22	SIMPSON Vanessa	8242.222296844
22	BROWN Eileen	7872.834246133
22	APANOWICZ John	0
22	CLARK Marion	0
22	CLARK Nathan	0
22	FISO John	0
22	GRICE Stephen	0
22	HOLBOROW Janet	0
22	HUGHES Glenda	0
22	ISA Letitia	0
22	MARSH Simon (Swampy)	0
22	MITIKULENA Alvin	0
22	NG Shan	0
22	O'DWYER Letitia	0
22	PETERS John	0
22	SHAND David	0
22	TURNER Susan	0
23	BLAKELEY Roger	9678.873229202
23	COFFEY 'Ana	9657.732012861
23	KEDGLEY Sue	9634.896003031
23	ADAMS Kathryn	9633.25257262
23	VERRALL Ayesha	9631.534675964
23	KALDERIMIS Chris	9614.133502417
23	SIMPSON Vanessa	8656.545254034
23	BROWN Eileen	8291.937330428
23	APANOWICZ John	0
23	CLARK Marion	0
23	CLARK Nathan	0
23	FISO John	0
23	GRICE Stephen	0
23	HOLBOROW Janet	0
23	HUGHES Glenda	0
23	ISA Letitia	0
23	MARSH Simon (Swampy)	0
23	MITIKULENA Alvin	0
23	NG Shan	0
23	O'DWYER Letitia	0
23	PETERS John	0
