body_code	race_id	candidate_id	iteration	votes	status_code
ADHB	1	5	4	6440.0	H
ADHB	1	6	4	4836.0	H
ADHB	1	7	4	5045.0	H
ADHB	1	8	4	4617.0	H
ADHB	1	9	4	3508.0	H
ADHB	1	10	4	4384.0	H
ADHB	1	11	4	4453.0	H
ADHB	1	12	4	4581.0	H
ADHB	1	13	4	2880.0	H
ADHB	1	14	4	2892.0	H
ADHB	1	15	4	3038.0	H
ADHB	1	16	4	2642.0	H
ADHB	1	17	4	2415.0	H
ADHB	1	18	4	2412.0	H
ADHB	1	19	4	2279.0	H
ADHB	1	20	4	2101.0	H
ADHB	1	21	4	1674.0	H
ADHB	1	22	4	1550.0	H
ADHB	1	23	4	1436.0	H
ADHB	1	24	4	1118.0	H
ADHB	1	25	4	1012.0	X
ADHB	1	26	4	0.0	X
ADHB	1	27	4	0.0	X
ADHB	1	28	4	0.0	X
ADHB	1	1	5	11732.0	H
ADHB	1	2	5	9120.0	H
ADHB	1	3	5	6878.0	H
ADHB	1	4	5	6912.0	H
ADHB	1	5	5	6476.0	H
ADHB	1	6	5	4865.0	H
ADHB	1	7	5	5125.0	H
ADHB	1	8	5	4650.0	H
ADHB	1	9	5	3540.0	H
ADHB	1	10	5	4431.0	H
ADHB	1	11	5	4488.0	H
ADHB	1	12	5	4623.0	H
ADHB	1	13	5	2947.0	H
ADHB	1	14	5	2918.0	H
ADHB	1	15	5	3059.0	H
ADHB	1	16	5	2666.0	H
ADHB	1	17	5	2451.0	H
ADHB	1	18	5	2438.0	H
ADHB	1	19	5	2304.0	H
ADHB	1	20	5	2124.0	H
ADHB	1	21	5	1718.0	H
ADHB	1	22	5	1580.0	H
ADHB	1	23	5	1506.0	H
ADHB	1	24	5	1153.0	X
ADHB	1	25	5	0.0	X
ADHB	1	26	5	0.0	X
ADHB	1	27	5	0.0	X
ADHB	1	28	5	0.0	X
ADHB	1	1	6	11778.0	H
ADHB	1	2	6	9178.0	H
ADHB	1	3	6	6934.0	H
ADHB	1	4	6	6943.0	H
ADHB	1	5	6	6511.0	H
ADHB	1	6	6	4897.0	H
ADHB	1	7	6	5199.0	H
ADHB	1	8	6	4695.0	H
ADHB	1	9	6	3623.0	H
ADHB	1	10	6	4518.0	H
ADHB	1	11	6	4517.0	H
ADHB	1	12	6	4660.0	H
ADHB	1	13	6	2987.0	H
ADHB	1	14	6	2956.0	H
ADHB	1	15	6	3083.0	H
