body_code	race_id	iteration	quota	ntv
CDHB	1	10	14850.1	815.9
CDHB	1	11	14838.1	912.1
CDHB	1	12	14834.2	943.5
CDHB	1	13	14809.7	1139.6
CDHB	1	14	14759.8	1538.4
CDHB	1	15	14730.2	1775.4
CDHB	1	16	14702.5	1996.8
CDHB	1	17	14577.3	2998.2
CDHB	1	18	14513.7	3507.2
CDHB	1	19	14350.3	4814.6
CDHB	1	20	14292.2	5279.1
CDHB	1	21	14259.0	5545.2
CDHB	1	22	14237.3	5718.3
CDHB	1	23	14220.3	5854.5
CMDHB	1	1	12243.8	0.0
CMDHB	1	2	12235.1	69.0
CMDHB	1	3	12229.0	118.0
CMDHB	1	4	12221.4	179.0
CMDHB	1	5	12209.0	278.0
CMDHB	1	6	12191.8	416.0
CMDHB	1	7	12171.9	575.0
CMDHB	1	8	12148.4	763.0
CMDHB	1	9	12126.3	940.0
CMDHB	1	10	12107.4	1091.0
CMDHB	1	11	12094.4	1195.0
CMDHB	1	12	12067.0	1414.0
CMDHB	1	13	11989.0	2038.0
CMDHB	1	14	11928.0	2526.0
CMDHB	1	15	11904.6	2713.0
CMDHB	1	16	11857.9	3087.0
CMDHB	1	17	11738.0	4046.0
CMDHB	1	18	11640.3	4828.0
CMDHB	1	19	11548.0	5566.0
CMDHB	1	20	11450.3	6347.7
CMDHB	1	21	11418.8	6599.5
CMDHB	1	22	11254.9	7910.7
CMDHB	1	23	11168.5	8601.7
CMDHB	1	24	11122.7	8968.1
CMDHB	1	25	11088.1	9244.9
CMDHB	1	26	11061.1	9460.8
CMDHB	1	27	11040.6	9624.9
CMDHB	1	28	11025.1	9749.2
CMDHB	1	29	11013.5	9842.3
CMDHB	1	30	11004.8	9911.9
DCC	1	1	19930.0	0.0
DCC	1	2	19885.0	90.0
DCC	1	3	19822.0	216.0
DCC	1	4	19743.0	373.0
DCC	1	5	19492.0	875.0
DCC	1	6	19208.0	1444.0
DCC	1	7	18855.0	2150.0
DCC	1	8	18182.0	3496.0
DCC	1	9	17165.0	5529.0
DCC	1	10	14690.0	10480.0
DCC	2	1	2626.5	129.0
DCC	2	2	2615.4	295.0
DCC	2	3	2614.7	176.2
DCC	2	4	2614.6	307.2
DCC	2	5	2614.2	313.0
DCC	2	6	2612.9	203.2
DCC	2	7	2612.9	332.7
DCC	2	8	2612.6	208.1
DCC	2	9	2612.5	337.8
DCC	2	10	2611.9	218.6
DCC	2	11	2611.8	348.4
DCC	2	12	2611.5	225.1
DCC	2	13	2611.4	354.9
DCC	2	14	2611.1	359.6
DCC	2	15	2610.2	372.4
DCC	2	16	2609.0	261.4
DCC	2	17	2609.0	391.7
DCC	2	18	2606.8	423.9
DCC	2	19	2605.3	317.0
DCC	2	20	2605.2	447.9
DCC	2	21	2604.2	334.7
DCC	2	22	2604.0	336.6
DCC	2	23	2604.0	465.9
DCC	2	24	2602.8	484.3
DCC	2	25	2602.6	486.7
DCC	2	26	2600.9	383.6
DCC	2	27	2600.8	514.7
DCC	2	28	2599.1	410.2
DCC	2	29	2598.8	543.3
DCC	2	30	2596.8	445.3
DCC	2	31	2596.6	447.6
DCC	2	32	2596.6	577.2
DCC	2	33	2594.8	474.9
DCC	2	34	2594.6	606.7
DCC	2	35	2591.2	529.2
DCC	2	36	2590.9	662.9
DCC	2	37	2589.4	555.6
DCC	2	38	2589.0	690.4
DCC	2	39	2585.9	608.0
DCC	2	40	2585.5	744.2
DCC	2	41	2580.9	683.5
DCC	2	42	2580.3	693.1
DCC	2	43	2580.1	695.4
DCC	2	44	2580.1	696.0
DCC	2	45	2580.1	825.2
DCC	2	46	2571.9	818.5
DCC	2	47	2571.0	831.4
DCC	2	48	2570.9	834.1
DCC	2	49	2570.8	963.8
DCC	2	50	2566.6	1027.6
DCC	2	51	2557.9	1158.0
DCC	2	52	2556.2	1053.7
DCC	2	53	2555.7	1061.4
DCC	2	54	2555.5	1192.9
DCC	2	55	2548.1	1175.7
DCC	2	56	2546.3	1201.9
DCC	2	57	2545.8	1338.6
DCC	2	58	2538.1	1454.5
DCC	2	59	2534.8	1375.0
DCC	2	60	2533.5	1394.9
DCC	2	61	2532.9	1531.9
DCC	2	62	2518.2	1752.5
DCC	2	63	2513.0	1830.7
DCC	2	64	2510.1	1745.0
DCC	2	65	2508.3	1772.1
DCC	2	66	2507.2	1789.0
DCC	2	67	2506.5	1928.6
DCC	2	68	2489.7	2181.1
DCC	2	69	2478.8	2344.4
DCC	2	70	2470.0	2347.2
DCC	2	71	2462.5	2459.0
DCC	2	72	2456.4	2679.5
DCC	2	73	2451.1	2630.8
DCC	2	74	2446.4	2700.6
DCC	2	75	2442.4	2760.7
DCC	2	76	2439.0	2812.2
DCC	2	77	2436.1	2856.1
DCC	2	78	2433.6	2893.4
DCC	2	79	2431.5	3054.0
HBDHB	1	1	5959.4	0.0
HBDHB	1	2	5933.5	207.3
HBDHB	1	3	5919.3	320.3
HBDHB	1	4	5917.1	338.6
HBDHB	1	5	5902.0	459.0
HBDHB	1	6	5888.6	566.5
HBDHB	1	7	5886.9	579.5
HBDHB	1	8	5829.1	1042.0
HBDHB	1	9	5824.2	1081.3
HBDHB	1	10	5794.3	1320.6
HBDHB	1	11	5763.0	1571.4
HBDHB	1	12	5755.2	1633.5
HBDHB	1	13	5752.2	1657.2
HBDHB	1	14	5695.0	2114.6
HBDHB	1	15	5637.9	2572.0
HBDHB	1	16	5604.6	2838.5
HBDHB	1	17	5578.6	3046.6
HVDHB	1	1	4365.9	0.0
HVDHB	1	2	4325.5	322.7
HVDHB	1	3	4318.4	380.0
HVDHB	1	4	4316.1	398.1
HVDHB	1	5	4309.9	447.4
HVDHB	1	6	4302.8	504.4
HVDHB	1	7	4301.0	519.0
HVDHB	1	8	4300.8	520.8
HVDHB	1	9	4291.1	598.1
HVDHB	1	10	4288.1	622.2
HVDHB	1	11	4269.7	769.6
HVDHB	1	12	4255.3	884.4
HVDHB	1	13	4211.8	1232.9
HVDHB	1	14	4205.6	1282.1
HVDHB	1	15	4178.4	1499.9
HVDHB	1	16	4170.0	1567.0
HVDHB	1	17	4116.3	1996.5
HVDHB	1	18	4096.6	2154.2
HVDHB	1	19	4085.1	2246.3
HVDHB	1	20	4078.3	2300.8
HVDHB	1	21	4073.5	2338.6
KCDC	1	1	9162.0	0.0
KCDC	1	2	9096.0	132.0
KCDC	1	3	9003.0	317.0
KCDC	1	4	8635.0	1054.0
KCDC	1	5	7766.0	2791.0
KCDC	2	1	2882.2	490.0
KCDC	2	2	2851.9	671.7
KCDC	2	3	2847.9	695.8
KCDC	2	4	2840.6	739.1
KCDC	2	5	2821.0	856.8
KCDC	2	6	2819.1	868.3
KCDC	2	7	2797.6	997.5
KCDC	2	8	2794.9	1013.5
KCDC	2	9	2760.7	1218.5
KCDC	2	10	2702.4	1568.6
KCDC	2	11	2679.6	1705.5
KCDC	2	12	2671.6	1753.1
KCDC	2	13	2601.1	2176.6
KCDC	2	14	2562.1	2410.2
KCDC	2	15	2537.4	2558.9
KCDC	3	1	1516.0	0.0
KCDC	4	1	1964.3	0.0
KCDC	4	2	1922.7	125.0
KCDC	4	3	1818.0	439.0
KCDC	5	1	2600.0	0.0
KCDC	5	2	2406.0	389.0
KCDC	5	3	2013.0	1175.0
KCDC	6	1	0.0	0.0
KCDC	7	1	1064.6	0.0
KCDC	7	2	1050.8	69.2
KCDC	7	3	1044.2	102.1
KCDC	7	4	1036.6	140.0
KCDC	7	5	1023.6	205.1
KCDC	7	6	1020.9	218.4
KCDC	7	7	995.1	347.3
KCDC	7	8	978.8	429.2
KCDC	7	9	967.9	483.6
KCDC	7	10	961.1	517.6
KCDC	7	11	957.1	537.5
KDC	1	1	3441.0	0.0
KDC	2	1	454.3	0.0
KDC	2	2	429.8	73.6
KDC	3	1	788.0	0.0
KDC	3	2	787.0	4.0
KDC	3	3	785.0	12.0
KDC	3	4	777.0	44.0
KDC	3	5	763.7	97.1
KDC	3	6	750.1	151.5
KDC	3	7	744.0	176.1
KDC	3	8	741.4	186.4
KDC	3	9	740.4	190.5
KDC	4	1	548.5	0.0
KDC	4	2	509.0	157.9
KDC	4	3	505.5	172.2
LDHB	1	1	3565.8	0.0
LDHB	1	2	3564.4	11.0
LDHB	1	3	3563.1	21.0
LDHB	1	4	3560.9	39.0
LDHB	1	5	3558.5	58.0
LDHB	1	6	3555.8	80.0
LDHB	1	7	3551.3	115.2
LDHB	1	8	3550.5	121.8
LDHB	1	9	3546.5	154.1
LDHB	1	10	3546.1	157.2
LDHB	1	11	3542.2	188.6
LDHB	1	12	3541.5	193.9
LDHB	1	13	3533.1	260.9
LDHB	1	14	3528.0	302.1
LDHB	1	15	3527.2	308.1
LDHB	1	16	3515.1	405.0
LDHB	1	17	3492.9	582.6
LDHB	1	18	3490.3	603.4
LDHB	1	19	3484.6	649.1
LDHB	1	20	3482.9	662.8
LDHB	1	21	3463.2	820.1
LDHB	1	22	3455.8	879.5
LDHB	1	23	3437.0	1029.9
LDHB	1	24	3430.8	1079.4
LDHB	1	25	3429.1	1093.1
LDHB	1	26	3414.5	1209.9
LDHB	1	27	3405.7	1280.2
LDHB	1	28	3348.1	1741.2
LDHB	1	29	3325.1	1925.0
LDHB	1	30	3268.6	2377.5
LDHB	1	31	3227.7	2704.0
LDHB	1	32	3203.4	2898.6
LDHB	1	33	3186.2	3036.7
LDHB	1	34	3173.9	3134.9
MCDHB	1	1	5781.8	0.0
MCDHB	1	2	5772.9	71.0
MCDHB	1	3	5766.4	123.0
MCDHB	1	4	5763.8	144.0
MCDHB	1	5	5756.0	206.0
MCDHB	1	6	5741.5	322.0
MCDHB	1	7	5728.8	424.0
MCDHB	1	8	5704.8	616.0
MCDHB	1	9	5664.3	939.5
MCDHB	1	10	5580.7	1608.3
MCDHB	1	11	5560.2	1772.5
MCDHB	1	12	5553.6	1825.5
MCDHB	1	13	5468.8	2503.8
MCDHB	1	14	5438.2	2748.1
MCDHB	1	15	5411.3	2963.6
MCDHB	1	16	5390.1	3133.3
MCDHB	1	17	5373.5	3265.8
MCDHB	1	18	5360.7	3368.4
MDC	1	1	9021.0	0.0
MDC	1	2	8753.0	536.0
MDC	2	1	786.0	0.0
MDC	2	2	773.0	52.1
MDC	2	3	769.3	66.9
MDC	2	4	752.1	135.5
MDC	2	5	741.3	178.8
MDC	3	1	1137.8	0.0
MDC	3	2	1134.0	14.8
MDC	3	3	1113.9	95.2
MDC	3	4	1107.1	122.5
MDC	4	1	1284.1	51.0
MDC	4	2	1278.1	48.2
MDC	4	3	1277.4	104.5
MDC	4	4	1276.7	59.5
MDC	4	5	1276.5	111.7
MDC	4	6	1275.8	117.6
MDC	4	7	1273.9	81.5
MDC	4	8	1273.6	135.5
MDC	4	9	1269.7	166.2
MDC	4	10	1265.0	204.4
MDC	4	11	1262.8	170.5
MDC	4	12	1261.7	230.3
MDC	4	13	1250.0	273.2
MDC	4	14	1242.9	329.9
MDC	4	15	1237.8	370.4
MDC	4	16	1234.3	398.4
MDC	4	17	1232.0	468.4
NDHB	1	1	5463.0	0.0
NDHB	1	2	5461.3	13.8
NDHB	1	3	5457.9	41.1
NDHB	1	4	5454.1	71.3
NDHB	1	5	5449.0	111.7
NDHB	1	6	5439.9	185.0
NDHB	1	7	5429.3	269.4
NDHB	1	8	5420.5	340.1
NDHB	1	9	5401.9	489.1
NDHB	1	10	5392.0	567.9
NDHB	1	11	5391.5	572.1
NDHB	1	12	5360.2	822.2
NDHB	1	13	5354.6	866.9
NDHB	1	14	5339.2	990.7
NDHB	1	15	5334.6	1027.3
NDHB	1	16	5314.2	1190.7
NDHB	1	17	5309.1	1231.5
NDHB	1	18	5268.0	1559.8
NDHB	1	19	5226.0	1896.1
NDHB	1	20	5215.9	1977.1
NDHB	1	21	5135.5	2619.8
NDHB	1	22	5093.5	2956.2
NDHB	1	23	5065.2	3182.6
NDHB	1	24	5043.1	3359.5
NMDHB	1	1	6025.3	0.0
NMDHB	1	2	6016.1	73.3
NMDHB	1	3	6007.1	145.4
NMDHB	1	4	6001.0	193.6
NMDHB	1	5	5985.8	315.3
NMDHB	1	6	5963.3	495.8
NMDHB	1	7	5913.1	897.2
NMDHB	1	8	5911.2	912.4
NMDHB	1	9	5860.0	1321.8
NMDHB	1	10	5854.7	1364.5
NMDHB	1	11	5852.7	1380.5
NMDHB	1	12	5761.8	2107.4
NMDHB	1	13	5713.7	2492.0
NMDHB	1	14	5684.7	2724.4
NMDHB	1	15	5661.2	2912.6
NMDHB	1	16	5641.4	3071.1
NMDHB	1	17	5624.7	3204.2
PCC	1	1	6936.0	0.0
PCC	1	2	6903.0	67.0
PCC	1	3	6819.0	234.0
PCC	1	4	6432.0	1008.0
PCC	1	5	5805.0	2262.0
PCC	2	1	1393.0	0.0
PCC	2	2	1387.3	28.5
PCC	2	3	1385.1	39.3
PCC	2	4	1382.5	52.6
PCC	2	5	1382.0	55.0
PCC	2	6	1373.9	95.4
PCC	2	7	1373.3	98.6
PCC	2	8	1361.3	158.4
PCC	2	9	1360.5	162.6
PCC	2	10	1349.9	215.4
PCC	2	11	1348.4	223.2
PCC	2	12	1335.6	287.2
PCC	2	13	1310.9	410.4
PCC	2	14	1307.3	428.7
PCC	2	15	1247.3	728.3
PCC	2	16	1235.4	787.9
PCC	3	1	903.0	0.0
PCC	3	2	902.3	2.0
PCC	3	3	899.3	11.0
PCC	3	4	897.0	18.0
PCC	3	5	892.0	33.0
PCC	3	6	879.3	71.0
PCC	3	7	858.0	135.0
PCC	3	8	816.0	261.0
PCC	3	9	788.8	342.5
PCC	4	1	829.4	0.0
PCC	4	2	826.4	15.2
PCC	4	3	825.9	17.4
PCC	4	4	824.8	23.2
PCC	4	5	824.3	25.6
PCC	4	6	821.2	41.0
PCC	4	7	820.8	43.2
PCC	4	8	816.1	66.3
PCC	4	9	815.7	68.7
PCC	4	10	809.9	97.3
PCC	4	11	809.4	100.0
PCC	4	12	800.0	147.2
PCC	4	13	798.8	153.2
PCC	4	14	785.8	218.0
PCC	4	15	766.9	312.3
PCC	4	16	759.9	347.7
PCC	5	1	1470.2	0.0
PCC	5	2	1458.2	60.0
PCC	5	3	1425.3	224.5
PCC	5	4	1407.5	313.7
PCC	6	1	6587.0	0.0
PCC	6	2	5893.0	1387.0
PNCC	1	1	9899.0	0.0
PNCC	2	1	1292.7	0.0
PNCC	2	2	1288.5	66.8
PNCC	2	3	1288.0	74.7
PNCC	2	4	1287.6	81.5
PNCC	2	5	1287.1	88.9
PNCC	2	6	1286.1	105.8
PNCC	2	7	1286.0	107.2
PNCC	2	8	1286.0	107.4
PNCC	2	9	1285.1	121.2
PNCC	2	10	1285.0	123.1
PNCC	2	11	1285.0	123.3
PNCC	2	12	1282.4	164.0
PNCC	2	13	1282.3	166.3
PNCC	2	14	1282.3	166.6
PNCC	2	15	1282.3	166.7
PNCC	2	16	1281.5	178.5
PNCC	2	17	1280.8	190.9
PNCC	2	18	1280.6	194.2
PNCC	2	19	1277.9	236.8
PNCC	2	20	1277.6	240.9
PNCC	2	21	1275.6	273.7
PNCC	2	22	1275.0	283.7
PNCC	2	23	1274.7	288.1
PNCC	2	24	1272.6	320.7
PNCC	2	25	1271.5	339.2
PNCC	2	26	1271.0	347.3
PNCC	2	27	1270.7	351.2
PNCC	2	28	1270.6	353.1
PNCC	2	29	1266.4	421.2
PNCC	2	30	1264.3	453.8
PNCC	2	31	1263.3	469.7
PNCC	2	32	1258.0	554.3
PNCC	2	33	1255.1	601.6
PNCC	2	34	1252.8	638.7
PNCC	2	35	1250.7	671.4
PNCC	2	36	1248.9	700.6
PNCC	2	37	1247.3	726.7
PNCC	2	38	1245.8	749.7
PNCC	2	39	1244.6	770.0
PNCC	2	40	1243.4	787.9
PNCC	2	41	1242.5	803.5
PNCC	2	42	1241.6	817.1
PNCC	2	43	1240.9	828.9
PNCC	2	44	1240.2	839.2
PNCC	2	45	1239.7	848.0
PNCC	2	46	1239.2	855.7
PNCC	2	47	1238.8	862.3
PNCC	2	48	1238.4	868.0
PNCC	2	49	1238.1	872.9
PNCC	2	50	1237.9	877.1
PNCC	2	51	1237.6	880.7
PNCC	2	52	1237.4	883.8
PNCC	2	53	1237.3	886.5
PNCC	2	54	1237.1	888.7
PNCC	2	55	1237.0	890.7
PNCC	2	56	1236.9	892.4
PNCC	2	57	1236.8	893.8
PNCC	2	58	1236.7	895.0
PNCC	2	59	1236.7	896.1
PNCC	2	60	1236.6	897.0
PNCC	2	61	1236.6	897.7
SCDHB	1	1	2421.6	0.0
SCDHB	1	2	2412.9	69.7
SCDHB	1	3	2408.6	104.5
SCDHB	1	4	2406.8	118.5
SCDHB	1	5	2402.7	151.0
SCDHB	1	6	2401.8	158.9
SCDHB	1	7	2401.4	162.2
SCDHB	1	8	2396.2	203.8
SCDHB	1	9	2394.2	219.4
SCDHB	1	10	2387.6	272.1
SCDHB	1	11	2385.1	291.9
SCDHB	1	12	2383.5	305.3
SCDHB	1	13	2382.5	313.0
SCDHB	1	14	2381.9	317.5
SCDHB	1	15	2381.6	320.2
SCDHB	1	16	2366.1	444.4
SCDHB	1	17	2361.8	478.4
SCDHB	1	18	2359.4	497.5
SCDHB	1	19	2358.0	508.8
SCDHB	1	20	2357.2	515.3
SCDHB	1	21	2356.8	519.0
SCDHB	1	22	2308.1	908.3
SCDHB	1	23	2301.1	964.4
SCDHB	1	24	2297.0	997.3
SCDHB	1	25	2294.7	1015.7
SCDHB	1	26	2293.4	1025.9
SCDHB	1	27	2269.4	1218.1
SCDHB	1	28	2251.9	1358.2
SCDHB	1	29	2237.1	1475.8
SCDHB	1	30	2226.3	1562.5
TAIDHB	1	1	1757.0	0.0
TAIDHB	1	2	1751.8	41.6
TAIDHB	1	3	1750.9	48.7
TAIDHB	1	4	1750.9	48.8
TAIDHB	1	5	1745.8	89.8
TAIDHB	1	6	1741.9	120.7
TAIDHB	1	7	1732.5	196.1
TAIDHB	1	8	1730.5	211.7
TAIDHB	1	9	1730.4	212.6
TAIDHB	1	10	1723.6	267.4
TAIDHB	1	11	1715.0	335.9
TAIDHB	1	12	1704.9	416.6
TAIDHB	1	13	1697.0	480.2
TAIDHB	1	14	1690.7	530.6
TAIDHB	1	15	1685.8	569.7
TAIDHB	1	16	1682.1	599.0
TAIDHB	1	17	1679.4	620.7
TAIDHB	1	18	1677.4	636.4
TARDHB	1	1	3977.1	0.0
TARDHB	1	2	3973.8	26.6
TARDHB	1	3	3973.1	32.3
TARDHB	1	4	3970.8	50.3
TARDHB	1	5	3969.2	63.2
TARDHB	1	6	3969.0	65.1
TARDHB	1	7	3967.8	74.5
TARDHB	1	8	3965.0	96.9
TARDHB	1	9	3964.6	100.3
TARDHB	1	10	3963.4	110.2
TARDHB	1	11	3960.7	131.6
TARDHB	1	12	3960.2	135.3
TARDHB	1	13	3957.0	160.7
TARDHB	1	14	3949.8	218.5
TARDHB	1	15	3948.7	227.5
TARDHB	1	16	3948.2	231.4
TARDHB	1	17	3948.0	232.6
TARDHB	1	18	3948.0	233.1
TARDHB	1	19	3937.9	314.0
TARDHB	1	20	3935.7	331.5
TARDHB	1	21	3934.9	337.9
TARDHB	1	22	3927.4	398.0
TARDHB	1	23	3924.3	422.9
TARDHB	1	24	3918.1	471.9
TARDHB	1	25	3915.0	497.1
TARDHB	1	26	3913.9	506.1
TARDHB	1	27	3910.4	534.1
TARDHB	1	28	3906.2	567.0
TARDHB	1	29	3887.2	719.2
TARDHB	1	30	3883.0	753.3
TARDHB	1	31	3881.4	765.4
TARDHB	1	32	3870.1	856.5
TARDHB	1	33	3864.2	903.4
TARDHB	1	34	3861.8	922.8
TARDHB	1	35	3846.9	1042.0
TARDHB	1	36	3838.7	1107.3
TARDHB	1	37	3835.6	1132.1
TARDHB	1	38	3834.3	1142.2
TARDHB	1	39	3813.5	1309.2
TARDHB	1	40	3800.5	1413.3
TARDHB	1	41	3763.3	1710.6
TARDHB	1	42	3750.7	1811.6
TARDHB	1	43	3745.6	1852.1
TARDHB	1	44	3743.6	1868.4
TARDHB	1	45	3685.8	2330.9
TARDHB	1	46	3657.1	2560.4
TARDHB	1	47	3645.4	2654.2
TARDHB	1	48	3640.5	2693.0
TARDHB	1	49	3638.5	2708.8
TARDHB	1	50	3543.0	3472.9
TARDHB	1	51	3496.1	3848.4
TARDHB	1	52	3468.5	4069.0
TARDHB	1	53	3449.4	4221.9
TARDHB	1	54	3436.3	4326.5
TARDHB	1	55	3427.4	4397.6
TARDHB	1	56	3421.5	4445.4
WAIKDHB	1	1	9727.8	0.0
WAIKDHB	1	2	9707.9	158.7
WAIKDHB	1	3	9697.3	243.4
WAIKDHB	1	4	9687.1	325.1
WAIKDHB	1	5	9674.1	428.8
WAIKDHB	1	6	9644.6	665.2
WAIKDHB	1	7	9643.8	671.5
WAIKDHB	1	8	9629.8	783.5
WAIKDHB	1	9	9607.4	962.5
WAIKDHB	1	10	9605.4	978.8
WAIKDHB	1	11	9573.7	1232.1
WAIKDHB	1	12	9534.5	1546.1
WAIKDHB	1	13	9490.8	1895.4
WAIKDHB	1	14	9483.5	1953.9
WAIKDHB	1	15	9482.7	1960.5
WAIKDHB	1	16	9417.0	2486.3
WAIKDHB	1	17	9406.7	2568.6
WAIKDHB	1	18	9405.6	2577.5
WAIKDHB	1	19	9249.8	3823.7
WAIKDHB	1	20	9225.1	4021.6
WAIKDHB	1	21	9133.6	4753.0
WAIKDHB	1	22	9066.1	5293.0
WAIKDHB	1	23	9023.3	5635.9
WAIRDHB	1	1	1789.5	0.0
WAIRDHB	1	2	1776.6	103.0
WAIRDHB	1	3	1770.3	153.7
WAIRDHB	1	4	1765.5	192.0
WAIRDHB	1	5	1755.2	274.1
WAIRDHB	1	6	1754.5	280.2
WAIRDHB	1	7	1740.7	390.4
WAIRDHB	1	8	1735.1	435.0
WAIRDHB	1	9	1722.0	539.7
WAIRDHB	1	10	1711.0	627.9
WAIRDHB	1	11	1703.2	690.4
WAIRDHB	1	12	1697.4	737.1
WAIRDHB	1	13	1693.1	771.3
WAIRDHB	1	14	1690.0	795.9
WAIRDHB	1	15	1687.8	813.3
WAIRDHB	1	16	1686.3	825.6
WAIRDHB	1	17	1685.2	834.0
WAIRDHB	1	18	1684.5	839.9
WAITDHB	1	1	16068.0	0.0
WAITDHB	1	2	15993.9	593.2
WAITDHB	1	3	15959.7	866.3
WAITDHB	1	4	15945.5	979.6
WAITDHB	1	5	15915.8	1217.6
WAITDHB	1	6	15908.0	1280.4
WAITDHB	1	7	15905.0	1303.7
WAITDHB	1	8	15903.9	1312.8
WAITDHB	1	9	15903.5	1316.2
WAITDHB	1	10	15903.3	1317.5
WAITDHB	1	11	15870.9	1577.0
WAITDHB	1	12	15859.6	1667.6
WAITDHB	1	13	15855.0	1704.4
WAITDHB	1	14	15853.2	1718.3
WAITDHB	1	15	15852.5	1723.6
WAITDHB	1	16	15803.3	2117.9
WAITDHB	1	17	15720.5	2780.1
WAITDHB	1	18	15699.6	2947.5
WAITDHB	1	19	15691.5	3012.1
WAITDHB	1	20	15688.4	3036.5
WAITDHB	1	21	15595.5	3780.2
WAITDHB	1	22	15570.0	3984.2
WAITDHB	1	23	15559.9	4065.1
WAITDHB	1	24	15472.4	4764.4
WAITDHB	1	25	15444.5	4987.8
WAITDHB	1	26	15433.3	5077.4
WAITDHB	1	27	15427.6	5122.9
WAITDHB	1	28	15424.6	5146.9
WAITDHB	1	29	15423.1	5159.6
WAITDHB	1	30	15328.8	5914.0
WAITDHB	1	31	15254.7	6506.6
WAITDHB	1	32	15213.0	6840.1
WAITDHB	1	33	15190.5	7020.0
WAITDHB	1	34	14984.7	8666.5
WAITDHB	1	35	14846.7	9770.4
WAITDHB	1	36	14769.1	10390.9
WAITDHB	1	37	14724.8	10745.4
WAITDHB	1	38	14689.3	11029.2
WCC	1	1	32526.0	0.0
WCC	1	2	32482.0	88.0
WCC	1	3	32392.0	269.0
WCC	1	4	32161.0	730.0
WCC	1	5	31869.0	1314.0
WCC	1	6	31093.0	2867.0
WCC	1	7	28309.0	8434.0
